"longitude","latitude","total_cases","id","voronoipop","nbHF","voronoiadjpop","sampling","provnames","access","pet","pop","urban","W.access"
113.89583333,28.89583333,NA,143,2560378,1,2560378,0,"Hunan",-0.72064090560615,0.043420018484715,1.12103670667311,0.842472142728138,-2.24650647212199
113.89583333,30.14583333,NA,190,2391556.5,1,2391556.5,0,"Hubei",-0.822971116451372,0.0316714635728338,1.16702235353097,1.20376463647974,-3.02591663167224
113.89583333,32.02083333,NA,236,3998239.75,1,3998239.75,0,"Henan",-0.602756745207521,0.0842201342615236,0.777770124422849,0.771296292877187,-2.36585195501058
113.89583333,36.39583333,NA,323,7735518.5,1,7735518.5,0,"Hebei",-1.21371111147516,0.64145286891675,0.809016803560809,0.424276930696636,-1.25771077841808
113.89583333,37.02083333,NA,323,7735518.5,1,7735518.5,0,"Hebei",0.336547403145192,0.536605835792826,0.207170782852416,0.634567133576527,-1.148726340359
113.89583333,38.89583333,NA,556,1350235.25,1,1350235.25,0,"Hebei",-0.86229072855266,0.459726655517326,0.317726804152291,0.516281589276591,-0.896137482455385
113.89583333,40.77083333,NA,363,2068677.875,1,2068677.875,0,"Inner Mongol",-0.205645619386449,0.495965721825309,0.213022527719295,-0.482501700463786,-0.660917999072952
113.89583333,41.39583333,NA,575,952777.4375,1,952777.4375,0,"Inner Mongol",-0.853804930155284,0.551387596164061,0.332026773190991,0.403361177268229,-0.624522433524602
113.89583333,42.64583333,NA,575,952777.4375,1,952777.4375,0,"Inner Mongol",-0.306357615390372,0.901872850930844,-0.54519381689674,-0.482501700463786,-0.524104266543325
113.89583333,43.27083333,NA,604,16999.572265625,1,16999.572265625,0,"Inner Mongol",-0.292551742978812,0.907389250875072,-1.00886538924471,-0.482501700463786,-0.441965197157492
113.89583333,43.89583333,NA,604,16999.572265625,1,16999.572265625,0,"Inner Mongol",-0.0366002675258417,0.52880230026986,-0.952846364049769,-0.482501700463786,-0.382689606698884
113.8999,33.65542,66,264,4667270,1,4667270,1,"Henan",-1.45946964708881,0.469251468837486,1.70604104562641,1.59884027127211,-1.78569019054766
113.9029,27.51356,54,112,2338969.25,1,2338969.25,1,"Jiangxi",-1.78938864844318,-0.105079256443782,1.45920354924692,1.3659065179549,-1.80521581761942
114.084,35.26547,184,299,4481373.5,1,4481373.5,1,"Henan",-1.45812084687632,0.761352778214907,1.77915248159059,1.9738455073653,-1.50727285070196
114.122,22.407,2,426,2354733.5,1,2354733.5,1,"Hong Kong",-2.86928990635148,0.261315096464886,2.79562606070938,1.27201810364536,-1.01506157775132
114.1291,22.65389,714,31,9541246,1,9541246,1,"Guangdong",-1.74417569061672,0.482711650136901,2.96938845087198,2.73063800301404,-1.0179524076195
114.1324,22.38074,74,28,1093672.5,2,546836.25,1,"Hong Kong",-2.92047046570948,0.220797732767224,2.74044188885009,1.17789213539352,-1.0139015161374
114.133808,22.3650193,2,425,1012367.5625,1,1012367.5625,1,"Hong Kong",-2.99131111283196,0.420559798093167,3.9128956647019,2.39104127171673,-1.01380999043179
114.1498,41.97032,6,575,952777.4375,1,952777.4375,1,"Inner Mongol",-0.591587872737554,0.36942896991639,0.270759570052448,0.699550670648917,-0.601008370176637
114.1505,32.92419,202,255,4822108,1,4822108,1,"Henan",-1.51743837822439,0.309256357648444,1.63323139046399,1.6801694591698,-2.00850744822785
114.164553,22.3888136,2,28,1093672.5,2,546836.25,1,"Hong Kong",-2.92047046570948,0.220797732767224,2.74044188885009,1.17789213539352,-1.0139015161374
114.1753,29.62495,285,163,2582785.75,1,2582785.75,1,"Hubei",-1.54210938944289,0.0848337441382928,0.980175550473606,0.634567133576527,-2.72249445144599
114.18612,22.319751,2,424,634025.6875,2,317012.84375,1,"Hong Kong",-2.60385591268183,0.483793655983942,4.28542291077895,2.81706408186268,-1.01303236455646
114.187767,22.319558,2,424,634025.6875,2,317012.84375,1,"Hong Kong",-2.60385591268183,0.483793655983942,4.28542291077895,2.81706408186268,-1.01303236455646
114.225,22.315,2,423,562413.875,2,281206.9375,1,"Hong Kong",-2.44588325771267,0.434608816129097,4.63050000493246,2.47991903906254,-1.01247620427122
114.234404,22.307989,2,423,562413.875,2,281206.9375,1,"Hong Kong",-2.44588325771267,0.434608816129097,4.63050000493246,2.47991903906254,-1.01247620427122
114.3093,35.72307,24,307,1242260.625,1,1242260.625,1,"Henan",-1.78494982292828,0.718525750460411,2.48454500576815,2.41528600916121,-1.42013682774332
114.3278,44.48038,6,604,16999.572265625,1,16999.572265625,1,"Inner Mongol",0.0817049502403684,0.296125018285449,-0.955881355851808,-0.482501700463786,-0.323196281540072
114.3421,30.62506,13243,196,10038178,1,10038178,1,"Hubei",-2.35272249569896,0.00964144853750187,2.83353884619919,2.01519539782362,-3.67634792225776
114.3525,35.87894,82,309,4235393.5,1,4235393.5,1,"Henan",-2.306558968899,0.724397596781535,2.16013505871038,2.27778281811748,-1.39854761720811
114.4384,38.13361,48,348,9923916,1,9923916,1,"Hebei",-2.01241922338804,0.828405818631785,2.29251257164361,1.99396105262453,-1.08176056870778
