index,id,longitude,latitude,voronoi_pop,nbHF,sampling,provnames,access,pet,pop,urban,W_access,voronoi_adj_pop,total_cases,adj_cases
48,35,108.4629,23.05898,6481183.0,1,1,Guangxi,-0.6730454815610319,0.4853124964915829,0.516135270001165,-0.482501700463786,-0.813610709329631,6481183.0,110.0,1.6972210165952728
52,36,100.7214,23.19205,3045175.0,1,1,Yunnan,0.11701947320957001,0.6098159952487939,0.148504002952142,-0.482501700463786,0.128283194402414,3045175.0,6.0,0.19703301123909134
58,37,114.4983,23.24435,3860433.5,1,1,Guangdong,-0.970095219639453,0.39654796891142396,1.4270079023041697,0.912534584676789,-0.9703710371822428,3860433.5,98.0,2.5385750071850737
59,38,116.5856,23.334329999999998,5933963.0,1,1,Guangdong,-1.45317156795405,0.46471252320190604,0.517431074695707,0.630703903832442,-0.9128740620310091,5933963.0,48.0,0.8089029203586204
60,39,116.1185,23.33707,5786634.5,1,1,Guangdong,-1.7913829183610999,0.526447610582139,2.452137656469,1.86820487343799,-0.93437150243789,5786634.5,14.0,0.24193682873870812
61,40,103.4879,23.33841,1615184.125,1,1,Yunnan,-1.6906883076680401,-0.128619988625002,1.27488709476246,0.748943890062091,-0.267061804444812,1615184.125,2.0,0.12382489210014988
64,41,113.5364,23.349829999999997,2283606.25,1,1,Guangdong,-1.2799258381352399,0.20238023137559802,1.49421452301452,2.01634398247666,-1.0338430216168102,2283606.25,554.0,24.25987404790121
67,42,113.4305,23.35183,9933129.0,1,1,Guangdong,-0.9007775222215909,0.18840915487286103,1.8655754304590402,1.6047828019744501,-1.03800127412179,9933129.0,240.0,2.4161570840366617
68,43,103.036,23.44225,1735048.375,1,1,Yunnan,-1.19953740526435,-0.35320476652511207,0.6871395075364161,-0.482501700463786,-0.20940628195969,1735048.375,8.0,0.46108224504115053
70,44,110.9909,23.481720000000003,3651450.25,1,1,Guangxi,-0.624908012182986,0.48188642380006297,0.827611994855522,-0.482501700463786,-0.7646105374480658,3651450.25,10.0,0.2738637887781711
71,45,112.2026,23.54164,2983386.0,1,1,Guangdong,-1.340436637649,0.258209718579123,0.9223494545652979,1.0835310399164,-0.9263403821055309,2983386.0,36.0,1.2066826082846807
72,46,116.7739,23.79656,3284991.25,1,1,Guangdong,-1.57699237762187,0.313542988769702,1.46771456855266,1.0238470109834399,-0.8826614764320161,3284991.25,12.0,0.3652977766683549
