"longitude","latitude","date","cases","Org.ID"
109.0626,34.50897,2020-02-02,1,455
109.0673,35.03984,2020-02-02,1,457
109.0889,34.3024,2020-02-04,2,450
109.0889,34.3024,2020-02-05,1,450
109.0889,34.3024,2020-02-02,1,450
109.209979,19.6964266,2020-02-02,1,432
109.2523,26.92336,2020-02-08,1,591
109.2596,27.52676,2020-02-02,2,439
109.2917,34.66112,2020-02-05,1,559
109.3161,36.44222,2020-02-08,1,140
109.3161,36.44222,2020-01-29,1,140
109.3161,36.44222,2020-01-24,1,140
109.328,21.67666,2020-01-26,2,25
109.328,21.67666,2020-01-29,2,25
109.328,21.67666,2020-02-11,3,25
109.328,21.67666,2020-02-04,2,25
109.328,21.67666,2020-02-14,3,25
109.328,21.67666,2020-02-13,1,25
109.328,21.67666,2020-01-30,2,25
109.328,21.67666,2020-01-28,2,25
109.328,21.67666,2020-01-25,1,25
109.328,21.67666,2020-02-09,2,25
109.328,21.67666,2020-01-31,6,25
109.328,21.67666,2020-02-17,1,25
109.328,21.67666,2020-01-27,2,25
109.328,21.67666,2020-01-22,3,25
109.328,21.67666,2020-02-08,1,25
109.328,21.67666,2020-02-05,2,25
109.328,21.67666,2020-02-02,3,25
109.328,21.67666,2020-01-24,3,25
109.328,21.67666,2020-02-03,1,25
109.328,21.67666,2020-02-10,1,25
