longitude,latitude,date,cases,Org.ID,raster_value
105.6869,27.227520000000002,2020-02-03,2,481,196.96810913085938
105.7378,34.64971,2020-01-27,1,299,38.47792434692383
105.7378,34.64971,2020-01-31,1,299,38.47792434692383
105.7388,29.65237,2020-01-30,2,204,64.65664672851562
105.7388,29.65237,2020-01-26,1,204,64.65664672851562
105.7388,29.65237,2020-01-29,1,204,64.65664672851562
105.7388,29.65237,2020-02-02,1,204,64.65664672851562
105.7818,32.26332,2020-02-03,1,358,261.5082702636719
105.7818,32.26332,2020-01-29,1,358,261.5082702636719
105.8098,30.14745,2020-02-02,1,442,169.236328125
105.8098,30.14745,2020-02-05,3,442,169.236328125
105.8098,30.14745,2020-02-13,1,442,169.236328125
105.8098,30.14745,2020-02-03,1,442,169.236328125
105.8098,30.14745,2020-02-15,1,442,169.236328125
105.8098,30.14745,2020-02-11,1,442,169.236328125
105.8705,29.29301,2020-01-24,2,36,62.1194953918457
105.8705,29.29301,2020-01-22,1,36,62.1194953918457
105.9499,25.995820000000002,2020-02-04,1,515,359.3459167480469
106.0291,29.814559999999997,2020-02-01,2,206,139.55169677734375
106.0291,29.814559999999997,2020-01-26,1,206,139.55169677734375
106.0291,29.814559999999997,2020-02-02,3,206,139.55169677734375
106.0291,29.814559999999997,2020-01-27,1,206,139.55169677734375
106.0543,35.25054,2020-02-09,1,595,225.61053466796875
106.1281,34.73969,2020-01-29,1,359,125.41349792480469
106.1453,34.415,2020-02-08,2,454,220.789794921875
106.1453,34.415,2020-02-03,1,454,220.789794921875
106.1453,34.415,2020-02-02,4,454,220.789794921875
106.1527,37.07805,2020-02-13,3,605,519.9471435546875
106.1671,37.28727,2020-02-07,2,386,234.2950897216797
106.1671,37.28727,2020-02-02,2,386,234.2950897216797
106.1671,37.28727,2020-01-30,4,386,234.2950897216797
106.1671,37.28727,2020-02-01,2,386,234.2950897216797
106.1671,37.28727,2020-02-06,3,386,234.2950897216797
106.1671,37.28727,2020-02-03,3,386,234.2950897216797
106.1671,37.28727,2020-02-05,6,386,234.2950897216797
106.1836,35.955740000000006,2020-01-26,1,236,404.6380310058594
106.189,29.564759999999996,2020-01-29,2,202,209.26522827148438
106.189,29.564759999999996,2020-02-16,1,202,209.26522827148438
106.189,29.564759999999996,2020-01-26,2,202,209.26522827148438
106.189,29.564759999999996,2020-01-31,2,202,209.26522827148438
106.189,29.564759999999996,2020-01-30,2,202,209.26522827148438
106.2033,31.197029999999998,2020-01-29,1,293,185.21080017089844
106.2033,31.197029999999998,2020-02-03,1,293,185.21080017089844
106.2033,31.197029999999998,2020-02-07,1,293,185.21080017089844
106.2033,31.197029999999998,2020-01-27,4,293,185.21080017089844
106.2033,31.197029999999998,2020-02-06,1,293,185.21080017089844
106.2033,31.197029999999998,2020-02-04,1,293,185.21080017089844
106.2033,31.197029999999998,2020-02-08,1,293,185.21080017089844
106.2033,31.197029999999998,2020-02-17,3,293,185.21080017089844
106.2579,29.03267,2020-01-27,2,283,294.6404113769531
106.2579,29.03267,2020-02-05,1,283,294.6404113769531
106.2579,29.03267,2020-01-29,1,283,294.6404113769531
106.2863,23.98862,2020-01-24,1,103,126.6436538696289
106.2863,23.98862,2020-01-25,1,103,126.6436538696289
106.2863,23.98862,2020-02-06,1,103,126.6436538696289
106.3081,30.11512,2020-02-02,1,211,105.14933776855469
106.3081,30.11512,2020-01-31,2,211,105.14933776855469
106.3081,30.11512,2020-02-05,2,211,105.14933776855469
106.3081,30.11512,2020-02-12,1,211,105.14933776855469
106.3081,30.11512,2020-01-26,2,211,105.14933776855469
106.3081,30.11512,2020-01-29,2,211,105.14933776855469
106.3081,30.11512,2020-02-11,2,211,105.14933776855469
106.3081,30.11512,2020-01-27,2,211,105.14933776855469
106.3496,38.2349,2020-01-25,1,48,128.4604034423828
106.3496,38.2349,2020-01-28,2,48,128.4604034423828
106.3496,38.2349,2020-01-27,3,48,128.4604034423828
106.3496,38.2349,2020-01-31,4,48,128.4604034423828
106.3496,38.2349,2020-01-22,1,48,128.4604034423828
106.3625,29.431890000000003,2020-01-30,3,123,90.14494323730469
106.3625,29.431890000000003,2020-02-02,2,123,90.14494323730469
106.3625,29.431890000000003,2020-02-01,2,123,90.14494323730469
106.3625,29.431890000000003,2020-01-25,1,123,90.14494323730469
106.3625,29.431890000000003,2020-01-31,1,123,90.14494323730469
106.3625,29.431890000000003,2020-01-27,2,123,90.14494323730469
106.3625,29.431890000000003,2020-01-24,2,123,90.14494323730469
106.3637,29.62567,2020-01-31,2,403,108.83322143554688
106.3637,29.62567,2020-02-11,6,403,108.83322143554688
106.4452,29.41508,2020-01-27,2,122,44.1617431640625
106.4452,29.41508,2020-01-24,1,122,44.1617431640625
106.4452,29.41508,2020-01-25,3,122,44.1617431640625
106.46998799999999,29.527955,2020-02-05,2,541,17.503049850463867
106.4984,37.44059,2020-01-31,1,335,330.9934387207031
106.4984,37.44059,2020-01-28,2,335,330.9934387207031
106.4984,37.44059,2020-01-29,1,335,330.9934387207031
106.5376,29.55234,2020-01-29,1,352,8.629926681518555
106.5376,29.55234,2020-02-01,2,352,8.629926681518555
106.5376,29.55234,2020-01-30,3,352,8.629926681518555
106.5376,29.55234,2020-02-05,1,352,8.629926681518555
106.5376,29.55234,2020-01-31,2,352,8.629926681518555
106.56700000000001,29.6426,2020-01-25,2,124,17.49278450012207
106.56700000000001,29.6426,2020-02-12,1,124,17.49278450012207
106.56700000000001,29.6426,2020-01-24,1,124,17.49278450012207
106.56700000000001,29.6426,2020-01-30,1,124,17.49278450012207
106.56700000000001,29.6426,2020-02-03,1,124,17.49278450012207
106.56700000000001,29.6426,2020-02-01,2,124,17.49278450012207
106.56700000000001,29.6426,2020-01-27,5,124,17.49278450012207
106.56700000000001,29.6426,2020-01-31,1,124,17.49278450012207
106.5993,35.20198,2020-02-13,1,587,460.68304443359375
106.5993,35.20198,2020-02-09,2,587,460.68304443359375
106.5993,35.20198,2020-02-10,1,587,460.68304443359375
106.5993,35.20198,2020-02-07,1,587,460.68304443359375
106.5993,35.20198,2020-02-08,2,587,460.68304443359375
106.6421,35.30775,2020-01-28,1,334,544.8287353515625
106.6592,29.540340000000004,2020-01-27,1,288,21.089736938476562
106.6592,29.540340000000004,2020-02-01,1,288,21.089736938476562
106.6592,29.540340000000004,2020-02-02,2,288,21.089736938476562
106.6592,29.540340000000004,2020-02-13,3,288,21.089736938476562
106.6592,29.540340000000004,2020-02-12,2,288,21.089736938476562
106.6592,29.540340000000004,2020-02-03,1,288,21.089736938476562
106.6592,29.540340000000004,2020-01-29,1,288,21.089736938476562
106.6592,29.540340000000004,2020-01-30,1,288,21.089736938476562
106.6603,26.3924,2020-02-08,1,590,35.51261520385742
106.6635,30.42717,2020-01-23,1,65,142.5355682373047
106.6635,30.42717,2020-02-03,3,65,142.5355682373047
106.6635,30.42717,2020-01-27,5,65,142.5355682373047
106.6635,30.42717,2020-02-07,1,65,142.5355682373047
106.6635,30.42717,2020-02-06,3,65,142.5355682373047
106.7064,26.84311,2020-02-06,4,32,93.14693450927734
106.7064,26.84311,2020-02-08,2,32,93.14693450927734
106.7064,26.84311,2020-02-05,3,32,93.14693450927734
106.7064,26.84311,2020-02-04,2,32,93.14693450927734
106.7064,26.84311,2020-01-22,1,32,93.14693450927734
106.7064,26.84311,2020-01-31,3,32,93.14693450927734
106.70700000000001,29.62085,2020-02-01,1,203,56.09593200683594
106.70700000000001,29.62085,2020-01-27,2,203,56.09593200683594
106.70700000000001,29.62085,2020-01-29,2,203,56.09593200683594
106.70700000000001,29.62085,2020-01-31,4,203,56.09593200683594
106.70700000000001,29.62085,2020-02-02,3,203,56.09593200683594
106.70700000000001,29.62085,2020-02-05,2,203,56.09593200683594
106.70700000000001,29.62085,2020-02-15,1,203,56.09593200683594
106.70700000000001,29.62085,2020-01-26,2,203,56.09593200683594
106.70700000000001,29.62085,2020-02-14,2,203,56.09593200683594
106.70700000000001,29.62085,2020-02-16,1,203,56.09593200683594
106.70700000000001,29.62085,2020-01-30,2,203,56.09593200683594
106.7179,28.88242,2020-02-05,1,282,177.7586669921875
106.7179,28.88242,2020-02-03,5,282,177.7586669921875
106.7179,28.88242,2020-02-15,1,282,177.7586669921875
106.7179,28.88242,2020-01-29,3,282,177.7586669921875
106.7179,28.88242,2020-02-11,1,282,177.7586669921875
106.7179,28.88242,2020-01-27,2,282,177.7586669921875
106.7179,28.88242,2020-02-14,2,282,177.7586669921875
106.7179,28.88242,2020-02-02,1,282,177.7586669921875
106.7179,28.88242,2020-02-12,5,282,177.7586669921875
106.7187,26.54928,2020-02-03,3,436,4.933279991149902
106.7187,26.54928,2020-02-02,1,436,4.933279991149902
106.7437,29.81392,2020-01-27,2,125,213.12738037109375
106.7437,29.81392,2020-01-29,1,125,213.12738037109375
106.7437,29.81392,2020-01-25,2,125,213.12738037109375
106.7437,29.81392,2020-02-01,1,125,213.12738037109375
106.7437,29.81392,2020-01-24,2,125,213.12738037109375
106.7437,29.81392,2020-01-30,3,125,213.12738037109375
106.7437,29.81392,2020-01-31,1,125,213.12738037109375
106.7477,29.37342,2020-01-27,1,286,291.57135009765625
106.7477,29.37342,2020-02-13,1,286,291.57135009765625
106.7477,29.37342,2020-02-02,1,286,291.57135009765625
106.8782,26.829420000000002,2020-02-08,1,375,624.9940795898438
106.8782,26.829420000000002,2020-01-30,3,375,624.9940795898438
106.8807,39.552609999999994,2020-02-03,1,488,145.02752685546875
106.8838,39.74473,2020-02-02,1,469,390.5309753417969
106.8838,39.74473,2020-02-04,1,469,390.5309753417969
106.8838,39.74473,2020-02-05,2,469,390.5309753417969
106.93651399999999,27.913562699999996,2020-02-14,3,612,97.40975952148438
107.038,32.01936,2020-02-04,3,357,669.29052734375
107.038,32.01936,2020-02-06,1,357,669.29052734375
107.038,32.01936,2020-02-07,1,357,669.29052734375
107.038,32.01936,2020-01-29,2,357,669.29052734375
107.0848,28.171429999999997,2020-02-07,6,379,585.6607666015625
107.0848,28.171429999999997,2020-02-06,1,379,585.6607666015625
107.0848,28.171429999999997,2020-01-30,1,379,585.6607666015625
107.0848,28.171429999999997,2020-02-03,1,379,585.6607666015625
107.0848,28.171429999999997,2020-01-31,3,379,585.6607666015625
107.1014,33.0928,2020-01-27,2,224,104.17266845703125
107.1014,33.0928,2020-02-02,2,224,104.17266845703125
107.1014,33.0928,2020-01-29,2,224,104.17266845703125
107.1014,33.0928,2020-01-26,1,224,104.17266845703125
107.1014,33.0928,2020-01-28,1,224,104.17266845703125
107.1014,33.0928,2020-02-05,3,224,104.17266845703125
107.1014,33.0928,2020-02-07,1,224,104.17266845703125
107.1356,29.95723,2020-01-30,1,12,284.9953918457031
107.1356,29.95723,2020-02-02,1,12,284.9953918457031
107.1356,29.95723,2020-01-24,2,12,284.9953918457031
107.1356,29.95723,2020-02-12,1,12,284.9953918457031
107.1356,29.95723,2020-01-31,2,12,284.9953918457031
107.1356,29.95723,2020-02-16,1,12,284.9953918457031
107.1356,29.95723,2020-01-21,1,12,284.9953918457031
107.1356,29.95723,2020-02-15,2,12,284.9953918457031
