"longitude","latitude","cases","raster_value"
114.207664,22.2333433,1.0,8.138249397277832
114.225,22.315,1.0,16.174186706542972
114.234404,22.307989000000006,1.0,16.174186706542972
114.26873779299999,29.8943271640001,33.53846153846154,84.1539535522461
114.291938782,30.5675144200001,1095.888888888889,9.913750648498537
114.3093,35.72307,2.0,49.13146591186523
114.3278,44.48038,3.0,511.0970153808594
114.3525,35.87894,3.1538461538461537,21.19197654724121
114.4384,38.13361,2.6666666666666665,35.09415054321289
114.4983,23.24435,3.2666666666666666,133.48431396484378
114.5375,34.6068,1.9,71.92052459716797
114.5421,36.55381,2.3,38.80736923217773
114.6612,35.46624,1.0,59.88608169555664
114.7549,35.21723,1.0,62.42487335205078
114.8155,37.21327,2.5,45.93285751342773
114.8248,26.97535,1.7272727272727273,52.04891586303711
114.8515,27.84546,6.8125,163.29129028320312
114.8773,33.723859999999995,4.266666666666667,45.3980941772461
114.881187439,30.402767181000094,39.74285714285714,49.87799835205078
114.8834,32.08258,12.545454545454545,238.3580017089844
114.9369,32.77976,1.0,35.16636276245117
114.9579,24.04653,1.0,216.12173461914062
114.9732,28.30755,5.375,181.65939331054688
115.0351,40.87393,2.5714285714285716,81.22679138183594
115.074989319,30.213798523,31.90625,12.020071983337402
115.1701,39.02267,2.625,71.92191314697266
115.2745,25.71368,5.833333333333333,65.02736663818361
115.2794,35.80833,2.6666666666666665,14.2341890335083
115.3716,33.88942,1.0,264.51470947265625
115.4418,29.3255,6.875,157.5745086669922
115.5411,23.0011,1.0,134.55758666992188
115.5438,44.24353,1.25,670.6533813476562
115.6914,35.15343,2.0,136.47447204589844
115.6977,34.28974,5.75,105.5983657836914
115.6979,32.13325,2.0,143.2801971435547
115.7036,32.9188,5.428571428571429,97.54000091552734
115.8236,37.76365,1.6,40.11439514160156
115.8797,36.45761,1.0,85.76801300048828
115.8952,36.44981,1.5,85.76801300048828
116.0257,28.66149,10.421052631578947,23.58849906921387
116.0288,35.27391,1.0,86.21595764160156
116.0807,24.20478,1.3333333333333333,64.44570159912111
116.1108,34.73318,1.0,140.96176147460938
116.1185,23.33707,1.75,48.69180297851562
116.1236,44.07095,1.0,459.841796875
116.1246,25.13598,1.0,175.75672912597656
116.152,39.60332,1.0,183.5637359619141
